,Unnamed: 0,"('Karte', None)","('Gemarkungs- schlüssel', None)","Name","('Fläche (ha)', None)","('Anzahl der Flurstücke', None)","('Eingemein- dungsjahr', None)","('Bild', None)","('Stadt-/Ortsteile', None)","('Zugehörigkeit', None)"
28,28,"('', '/wiki/Datei:Gemarkung_Hellerberge_in_Dresden.svg')","('0221', None)","('Hellerberge', '/wiki/Heller_(Dresden)')","('693', None)","('307', None)","('1949', None)","('', '/wiki/Datei:Hellersiedlung.JPG')","('Hellerberge', '/wiki/Heller_(Dresden)')","('Klotzsche (Stadtbezirk), Neustadt (Stadtbezirk), Pieschen (Stadtbezirk)', '/wiki/Klotzsche_(Stadtbezirk)')"
29,29,"('', '/wiki/Datei:Gemarkung_Hosterwitz_in_Dresden.svg')","('0222', None)","('Hosterwitz', '/wiki/Hosterwitz')","('186', None)","('515', None)","('1950', None)","('', '/wiki/Datei:Maria_am_Wasser_in_Hosterwitz.jpg')","('Hosterwitz', '/wiki/Hosterwitz')","('Loschwitz (Stadtbezirk)', '/wiki/Loschwitz_(Stadtbezirk)')"
30,30,"('', '/wiki/Datei:Gemarkung_Kaditz_in_Dresden.svg')","('0223', None)","('Kaditz', '/wiki/Kaditz')","('487', None)","('2280', None)","('1903', None)","('', '/wiki/Datei:Dresden_Emmauskirche_Kaditz_2.jpg')","('Kaditz', '/wiki/Kaditz')","('Pieschen (Stadtbezirk)', '/wiki/Pieschen_(Stadtbezirk)')"
31,31,"('', '/wiki/Datei:Gemarkung_Kaitz_in_Dresden.svg')","('0225', None)","('Kaitz', '/wiki/Kaitz')","('113', None)","('421', None)","('1921', None)","('', '/wiki/Datei:Possendorfer_Stra%C3%9Fe_in_Kaitz_(216).jpg')","('Kaitz', '/wiki/Kaitz')","('Plauen (Stadtbezirk)', '/wiki/Plauen_(Stadtbezirk)')"
32,32,"('', '/wiki/Datei:Gemarkung_Kauscha_in_Dresden.svg')","('3742', None)","('Kauscha', '/wiki/Kauscha')","('186', None)","('326', None)","('1999', None)","('', '/wiki/Datei:Stiel-Eiche_Kauscha.jpg')","('Kauscha', '/wiki/Kauscha')","('Prohlis (Stadtbezirk)', '/wiki/Prohlis_(Stadtbezirk)')"
33,33,"('', '/wiki/Datei:Gemarkung_Kemnitz_in_Dresden.svg')","('0226', None)","('Kemnitz', '/wiki/Kemnitz_(Dresden)')","('102', None)","('533', None)","('1921', None)","('', '/wiki/Datei:Kemnitz_1.jpg')","('Kemnitz', '/wiki/Kemnitz_(Dresden)')","('Cotta (Stadtbezirk)', '/wiki/Cotta_(Stadtbezirk)')"
34,34,"('', '/wiki/Datei:Gemarkung_Kleinluga_in_Dresden.svg')","('0227', None)","('Kleinluga', '/wiki/Luga_(Dresden)')","('45', None)","('110', None)","('1950', None)","('', '/wiki/Datei:Luthereiche_Kleinluga.jpg')","('Luga', '/wiki/Luga_(Dresden)')","('Prohlis (Stadtbezirk)', '/wiki/Prohlis_(Stadtbezirk)')"
35,35,"('', '/wiki/Datei:Gemarkung_Kleinpestitz_in_Dresden.svg')","('0228', None)","('Kleinpestitz', '/wiki/Kleinpestitz')","('79', None)","('555', None)","('1921', None)","('', '/wiki/Datei:Kleinpestitz.jpg')","('Kleinpestitz', '/wiki/Kleinpestitz')","('Plauen (Stadtbezirk)', '/wiki/Plauen_(Stadtbezirk)')"
36,36,"('', '/wiki/Datei:Gemarkung_Kleinzschachwitz_in_Dresden.svg')","('0229', None)","('Kleinzschachwitz', '/wiki/Kleinzschachwitz')","('117', None)","('889', None)","('1921', None)","('', '/wiki/Datei:Putjatinhaus_Dresden_Kleinzschachwitz.jpg')","('Kleinzschachwitz', '/wiki/Kleinzschachwitz')","('Leuben (Stadtbezirk)', '/wiki/Leuben_(Stadtbezirk)')"
37,37,"('', '/wiki/Datei:Gemarkung_Klotzsche_in_Dresden.svg')","('0230', None)","('Klotzsche', '/wiki/Klotzsche')","('866', None)","('2982', None)","('1950', None)","('', '/wiki/Datei:DRS_Terminal_1.JPG')","('Klotzsche', '/wiki/Klotzsche')","('Klotzsche (Stadtbezirk), Neustadt (Stadtbezirk), Weixdorf (Ortschaft)', '/wiki/Klotzsche_(Stadtbezirk)')"
