,Name,Lat,Long,Gemeinde,Zu_Hause_Distanz,Zu_Hause_Dauer,Robotron_Distanz,Robotron_Dauer,Schule_Distanz,Schule_Dauer,Kletterarena_Distanz,Kletterarena_Dauer,Großeltern_Distanz,Großeltern_Dauer,Dresden Zentrum_Distanz,Dresden Zentrum_Dauer
151,Wurgwitz,51.0255828,13.6276404,-,13.29,28,6.96,16,20.19,22,7.58,17,54.27,43,10.71,23
152,Kaitz,51.0139212,13.7275321,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",6.51,15,2.13,4,9.11,13,3.89,10,16.49,33,5.04,12
153,Wahnsdorf,51.1188501,13.6716604,"Radebeul,Sachsen,Bundesrepublik Deutschland,Europe",12.15,26,29.18,30,33.21,32,14.28,27,43.16,38,13.93,26
154,Helmsdorf,51.0371158,14.0412767,Stolpen,22.77,39,36.03,37,29.77,34,38.35,43,14.32,22,25.25,45
155,Dobritz,51.1376519,13.4423689,-,33.95,47,35.53,42,39.55,43,31.6,45,68.47,61,33.54,45
156,Buschbad,51.1344205,13.4596209,-,33.63,46,35.21,40,39.23,42,31.28,43,68.15,59,33.22,44
157,Sonnenstein,50.95688,13.9513544,Pirna,28.62,37,23.67,26,17.41,23,26.0,32,20.34,33,27.15,34
158,Heeselicht,51.0078998,14.0900772,Stolpen,29.6,44,38.85,40,32.59,37,41.18,46,21.15,28,42.33,48
159,Löbtau,51.0413452,13.6984581,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",6.69,16,4.68,11,10.45,23,2.34,7,16.02,36,4.14,12
160,Rottewitz,51.182858,13.4632389,"Meißen,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",34.38,49,38.57,50,42.6,52,27.82,50,61.24,59,27.96,51
161,Cunnersdorf,50.9596832,13.9620218,Pirna,29.18,39,24.23,28,17.98,25,26.56,34,20.91,35,27.71,36
162,Niederhermsdorf,51.0221846,13.6157997,-,14.21,30,7.44,17,20.05,22,8.49,19,54.86,43,11.63,25
163,Cossebaude,51.0876124,13.6298379,-,12.11,25,12.72,26,27.51,29,9.68,20,49.63,41,9.82,21
