,Name,Lat,Long,Zu_Hause_Distanz,Zu_Hause_Dauer,Robotron_Distanz,Robotron_Dauer,Schule_Distanz,Schule_Dauer,Kletterarena_Distanz,Kletterarena_Dauer,Großeltern_Distanz,Großeltern_Dauer,Dresden Zentrum_Distanz,Dresden Zentrum_Dauer
164,Kleinluga,50.9827084,13.8303387,13.58,45,12.46,43,3.62,12,11.71,39,13.28,48,11.68,39
165,Hosterwitz,51.0145851,13.8630803,11.26,39,14.99,55,5.6,22,16.3,56,7.96,28,14.02,48
166,Hellerau,51.1126515,13.7595615,8.65,29,14.98,51,16.73,58,10.42,38,15.05,52,8.37,31
167,Klotzsche,51.1186284,13.7781539,9.37,32,15.7,53,17.44,61,11.13,41,13.88,48,9.08,34
168,Trachenberge,51.0959794,13.7284263,7.12,24,12.27,42,15.2,53,8.8,33,17.79,62,6.75,26
169,Mobschatz,51.0791557,13.6437255,11.72,40,11.88,40,18.63,65,11.13,37,24.5,87,9.53,32
170,Niederwartha,51.090646,13.6064712,16.72,57,16.88,57,23.63,82,16.12,54,29.49,104,14.53,49
171,Oberwartha,51.0816091,13.6047327,16.51,57,16.67,56,23.42,81,15.91,53,29.28,103,14.31,49
172,Berggießhübel,50.8737844,13.9480113,33.78,113,34.91,118,26.07,87,38.66,130,30.73,105,36.37,122
173,Kaditz,51.0843554,13.6776905,9.49,34,12.9,46,16.94,62,9.53,34,21.64,77,7.5,30
174,Übigau,51.0713098,13.6931327,8.32,28,9.82,34,15.77,56,6.45,23,20.47,71,6.33,24
175,Mickten,51.0781249,13.7070254,6.98,24,10.5,36,14.43,52,7.03,27,19.13,67,4.98,20
176,Cunnersdorf,51.1838298,13.8081959,19.85,67,26.18,89,27.93,97,21.61,77,18.42,63,19.57,70
177,Hufen,51.170515,13.7909441,16.86,57,23.19,79,24.94,86,18.62,67,18.39,63,16.58,59
178,Obergohlis,51.0874338,13.6484784,12.62,44,12.78,43,19.53,68,12.03,40,25.4,91,10.43,36
179,Pieschen,51.0831018,13.7225624,7.47,27,10.99,39,14.92,54,7.53,30,17.93,64,5.48,23
180,Innere Neustadt,51.0600782,13.7446283,2.65,8,7.31,28,10.73,38,3.61,15,14.8,51,1.56,8
181,Äußere Neustadt,51.0671858,13.7528113,2.93,10,9.26,31,11.01,39,4.7,19,14.18,50,2.65,12
182,Leipziger Vorstadt,51.0742716,13.7456304,4.1,14,9.49,32,12.18,43,5.46,22,15.14,53,3.42,15
183,Strand,50.9397755,14.073065,33.06,112,34.19,116,25.34,85,37.93,128,29.68,101,35.65,120
184,Großzschachwitz,51.0015845,13.8391166,10.8,37,11.6,40,2.76,9,10.85,36,10.5,39,10.0,34
185,Loschwitz,51.0555235,13.8154546,4.9,16,11.5,39,9.76,32,9.78,33,6.68,22,7.5,25
186,Krieschendorf,51.0234303,13.8856378,13.39,46,17.12,62,7.62,30,18.43,63,5.33,18,16.15,56
187,Hellerberge,51.0978519,13.7471755,7.21,26,12.7,44,15.28,56,8.68,34,17.87,64,6.63,27
188,Radeberger Vorstadt,51.0689995,13.7747478,2.1,7,10.31,35,12.35,43,7.23,25,12.45,44,4.95,17
189,Weißer Hirsch,51.0641586,13.8226878,6.7,22,13.29,45,11.56,38,11.57,39,6.4,22,9.29,31
190,Oberpoyritz,51.0028442,13.8954496,13.8,48,17.53,64,8.03,32,18.84,65,9.16,31,16.56,57
191,Niederpoyritz,51.0299881,13.8456531,9.36,33,13.09,49,6.74,26,14.4,50,5.6,19,12.12,42
192,Wachwitz,51.0382067,13.8314672,7.64,27,15.76,54,6.67,25,12.68,44,6.36,22,10.4,36
193,Bühlau,51.0625884,13.8511298,8.01,27,14.61,50,10.86,40,12.89,44,3.73,12,10.61,36
194,Albertstadt,51.0793519,13.7543265,4.84,18,10.34,36,12.91,47,6.32,26,15.5,55,4.27,18
195,Zschertnitz,51.022299,13.7452947,5.79,20,4.58,16,5.96,24,3.76,13,14.1,48,4.46,17
196,Omsewitz,51.0542551,13.6589564,10.08,36,8.51,29,14.41,52,6.54,22,22.85,82,7.2,24
197,Leutewitz,51.0564997,13.6713108,9.39,33,7.74,27,13.64,49,5.77,20,22.16,80,6.43,22
198,Wölfnitz,51.0403342,13.6777302,8.97,32,5.87,20,11.97,44,4.55,15,20.98,76,4.97,17
199,Seevorstadt,51.0438327,13.7338551,3.81,13,5.55,18,8.67,32,1.85,6,14.7,50,1.49,4
200,Gostritz,51.0100849,13.7494315,6.81,22,4.29,16,5.65,22,5.31,19,14.45,48,6.29,21
201,Kleinpestitz,51.0173648,13.7351584,6.97,23,3.0,11,6.65,25,3.86,13,15.2,51,5.26,18
202,Coschütz,51.0173107,13.7014868,7.74,25,1.22,4,9.15,34,3.29,10,17.29,58,5.62,19
203,Kauscha,50.9929409,13.7779251,9.07,30,8.31,29,2.49,8,8.3,28,13.65,50,8.54,28
204,Neugruna,51.0440325,13.811145,5.14,17,10.57,35,8.15,27,10.02,34,9.3,35,7.74,26
205,Torna,51.007275,13.7780781,7.5,25,6.97,25,2.98,13,6.96,23,12.65,47,6.98,23
206,Niedergohlis,51.0936452,13.6425258,12.76,45,12.92,44,19.67,69,12.16,41,25.53,91,10.57,37
207,Reick,51.0133206,13.7939453,6.99,23,7.55,27,2.81,11,6.8,23,11.38,42,7.01,23
208,Wilsdruffer Vorstadt,51.0511677,13.7255823,4.19,14,5.91,20,9.94,36,2.21,7,17.04,62,1.3,4
209,Roßthal,51.0330959,13.6755363,9.47,34,5.44,19,11.54,42,4.02,13,21.48,77,5.47,18
210,Mockritz,51.0148803,13.7417152,6.72,22,3.69,14,6.04,23,4.33,15,14.83,50,5.1,19
211,Räcknitz,51.0251896,13.7333866,5.75,19,4.09,14,6.93,27,2.64,9,15.07,51,4.04,14
212,Pirnaische Vorstadt,51.0489849,13.7495667,2.05,7,6.46,22,8.92,31,3.38,11,15.45,54,1.11,3
213,Leubnitz-Neuostra,51.0117209,13.7656363,6.59,22,5.65,20,4.34,17,5.65,19,13.62,49,6.02,20
214,Gittersee,51.0111467,13.6921953,9.0,30,0.96,3,10.42,38,4.51,15,18.57,62,6.84,23
